http://lomrus.ru/tseny-na-metallolom;8900;10.08.2016;11.08.2016;;http://lomrus.ru/tseny-na-metallolom;8900;10.08.2016;11.08.2016
http://rosmet-lom.ru/;9200;15.06.2016;11.08.2016;;http://rosmet-lom.ru/;9200;Unknown date;11.08.2016
http://www.startmetall.ru/price/;8000;26.07.2016;11.08.2016;;http://www.startmetall.ru/price/;8000;26.07.2016;11.08.2016
http://planetaloma.ru/tseny;8800;10.05.2016;11.08.2016;;http://planetaloma.ru/tseny;8800;10.05.2016;11.08.2016
http://kupim-metall.ru/tseny-0;9000;11.08.2016;11.08.2016;;http://kupim-metall.ru/tseny-0;9000;11.08.2016;11.08.2016
http://metalloplus.ru/tsena/;8200;01.01.2001;11.08.2016;;http://metalloplus.ru/tsena/;8200;Unknown date;11.08.2016
http://orisprom.ru/purchase/ceny_na_lom_i_othody_chernyh_metallov/tec-21/;8100;08.07.2016;11.08.2016;;http://orisprom.ru/purchase/ceny_na_lom_i_othody_chernyh_metallov/tec-21/;8100;Unknown date;11.08.2016
http://orisprom.ru/purchase/ceny_na_lom_i_othody_chernyh_metallov/proizvodstvennaya_baza_gdzerzhinskij/;8500;08.07.2016;11.08.2016;;http://orisprom.ru/purchase/ceny_na_lom_i_othody_chernyh_metallov/proizvodstvennaya_baza_gdzerzhinskij/;8500;Unknown date;11.08.2016
http://orisprom.ru/purchase/ceny_na_lom_i_othody_chernyh_metallov/tec-26/;8100;08.07.2016;11.08.2016;;http://orisprom.ru/purchase/ceny_na_lom_i_othody_chernyh_metallov/tec-26/;8100;Unknown date;11.08.2016
http://www.reallom.ru/price/price-chermet;8200;01.01.2001;11.08.2016;;http://www.reallom.ru/price/price-chermet;8200;Unknown date;11.08.2016
http://sdaylom.ru/priem-loma-v-moskve;9000;01.01.2001;11.08.2016;;http://sdaylom.ru/priem-loma-v-moskve;9000;Unknown date;11.08.2016
